,Season,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,height_cm,weight,weight_kg,draft_round,draft_pick,3PM_ratio,avg_height_cm,avg_weight,avg_BMI,Pts/Game,Ast/Game,FGA/Game,FGM/Game,ORB/Game,DRB/Game,REB/Game,MIN/Game,3PM/Game,3PA/Game,FTA/Game,FTM/Game,TOV/Game,PF/Game,STL/Game,BLK/Game,Type
10,2009 - 2010,15793,433977.60000000015,70538,151360,11792,32744,35308,45964,24760,36154,19453,56433,75886,39294,13089,8560,188176,412373.0,41710.0,46671.0,21171.0,233.0,2441.0,0.1671723042898863,200.52884615384616,224.37980769230768,25.311875601424386,104.0658319692076,21.730522497013663,83.70570278281642,39.00920231827632,10.757974605140907,31.208799716851733,41.96677432199264,27.479110998543668,6.5212582400566275,18.10821572357651,25.419192142635925,19.52616909259832,13.692872627527315,19.994027341503333,7.238530283590672,4.733884882537715,Regular Season
11,2010 - 2011,14955,411768.2,66612,142993,11310,30974,34109,44001,23337,33110,18099,52424,70523,38694,12604,7930,178643,386808.0,39151.0,43587.0,19766.0,226.0,2433.0,0.16978922716627634,200.77435897435896,223.52307692307693,25.1459289262206,104.1224650179397,22.552882908393606,83.34378419703124,38.82495054256253,10.549041912415772,30.555443572378827,41.1044854847946,27.533814777666333,6.592058347390595,18.053263948017356,25.646079517553808,19.880505585424032,13.602021719987118,19.298236240681042,7.346269090230863,4.622017921733635,Regular Season
12,2011 - 2012,13557,353982.7000000002,55293,121677,9494,26584,25640,33790,20185,27533,17179,45653,62832,30781,11188,7570,145720,448493.0,45436.0,51030.0,23141.0,255.0,2786.0,0.17170347060206537,201.04424778761063,225.79646017699116,25.333219129740886,98.79804860520015,20.869494469644977,82.49691298473056,37.488611731590254,11.647348867614145,30.952699100831747,42.60004796844589,26.110695581618366,6.43692474236735,18.02393167801702,22.909594169432562,17.38390039965229,13.685414569695064,18.667352952559536,7.585455447398979,5.132454213157873,Regular Season
13,2012 - 2013,16915,442024.89999999985,69961,152332,13084,35835,31782,41879,25651,34990,20845,57786,78631,40866,14344,9617,184788,448696.0,45427.0,50991.0,23122.0,249.0,2667.0,0.1870184817255328,201.00442477876106,225.62389380530973,25.322449990072727,100.33172339386314,22.18843327604396,82.70954871546833,37.985733382893144,11.317914443281365,31.375246055143055,42.693160498424426,26.13212533254507,7.104034184499563,19.4568224550246,22.738447539946286,17.25622244357728,13.927360200748875,18.99802477190765,7.788158540389921,5.221606294125062,Regular Season
14,2013 - 2014,15984,428240.69999999995,69317,151390,14522,39884,33391,43640,25224,34752,18321,55806,74127,40604,13886,7886,186547,421149.0,42521.0,47298.0,21450.0,235.0,2572.0,0.2095012767430789,200.57075471698113,223.10377358490567,25.15105565344944,104.54699891906586,22.75580065136266,84.84387401757938,38.84749861468096,10.267683571412059,31.275495299722802,41.543178871134856,26.791835585585584,8.13860055805065,22.3522892616232,24.45727367809739,18.7134011316533,14.136349020539152,19.476149744758033,7.782165497114123,4.419570582618607,Regular Season
15,2014 - 2015,15312,398148.29999999976,63540,139111,13039,36577,29469,38967,22992,32117,17698,53885,71583,38208,12987,7891,169588,407299.0,41225.0,45782.0,20764.0,226.0,2369.0,0.2052093169656909,201.09756097560975,223.32682926829267,25.046298526662802,102.22602984867704,23.031418192668426,83.8547847623612,38.3013063222925,10.66818569864546,32.48136435594478,43.14955005459024,26.002370689655155,7.859784909291341,22.048266939730762,23.488936157708086,17.763632294800715,13.859358435035396,19.359821453463457,7.828439804967148,4.756619581196256,Regular Season
16,2015 - 2016,15039,393387.1000000001,63779,139549,14332,39819,29673,38922,22398,31442,17046,55039,72085,37016,12912,8123,171563,391733.0,39629.0,43995.0,19957.0,215.0,2165.0,0.22471346367926748,201.16243654822335,223.3248730964467,25.034288715336316,104.66820086372937,22.58294692428907,85.13690459092328,38.910681107743486,10.399527589999773,33.57852862994236,43.978056219942125,26.157796396036975,8.743753925840474,24.293018250979753,23.7457710229949,18.103084722401924,13.66470837503314,19.182327025975173,7.877431669721756,4.955729356656585,Regular Season
17,2016 - 2017,20563,508692.8,83606,181822,20865,57963,38503,49616,28242,41012,21174,70586,91760,48659,16311,9976,226580,570946.0,57663.0,63534.0,28817.0,313.0,3177.0,0.2495634284620721,200.9163763066202,221.37282229965157,24.873459700555696,106.89988142155738,22.957195383933094,85.78316815178042,39.44510321357016,9.989840626798728,33.30229954109828,43.29214016789701,24.738258036278754,9.844055194018866,27.34679948290992,23.408705607785286,18.165619800398197,13.324505477569172,19.349359770769315,7.6954893012049705,4.706652030459248,Regular Season
18,2017 - 2018,19929,493414.19999999995,82297,176872,21723,59268,34695,45116,27763,39751,19994,69848,89842,47415,15875,9967,221012,555331.0,56091.0,61532.0,27912.0,307.0,3069.0,0.26395858901296526,201.04301075268816,220.5448028673835,24.75191438710574,107.50172978402325,23.062976298614835,86.03173560874414,40.02981673409481,9.725216663809029,33.97453903839816,43.69975570220719,24.75860304079482,10.56621394357925,28.828355568202134,21.944727168370914,16.875882372254384,13.504110745090028,19.335154926631624,7.7217072390701365,4.848016129248004,Regular Season
19,2018 - 2019,19825,497987.39999999997,87332,187303,23699,65992,38157,49472,28269,41918,21504,72285,93789,51470,15842,10378,236520,581580.0,58636.0,63858.0,28971.0,319.0,3006.0,0.2713667384234874,200.8082191780822,218.6917808219178,24.604676833696985,113.98842621319335,24.805446884800702,90.26878993323929,42.08877574010909,10.363635706445585,34.8370259970433,45.20066170348889,25.11916267339218,11.421493796831005,31.804178178002093,23.842530955602495,18.389380936144168,13.623959160412493,20.20195691698224,7.6348919671461575,5.001572328938443,Regular Season
