,Age,Season,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,height_cm,weight,weight_kg,draft_round,draft_pick,3PM_ratio,avg_height_cm,avg_weight,avg_BMI,Pts/Game,Ast/Game,FGA/Game,FGM/Game,ORB/Game,DRB/Game,REB/Game,MIN/Game,3PM/Game,3PA/Game,FTA/Game,FTM/Game,TOV/Game,PF/Game,STL/Game,BLK/Game
10,30,1093755,25837,704438.0,111347,244121,24138,65891,54317,70308,39710,58809,30136,91870,122006,66049,22094,13376,301150,1077435,108951.0,120383.0,54607.0,587.0,5998.0,0.2167817722974126,200.27757352941177,221.2922794117647,25.025615987161924,11.655764988195225,2.5563726438828036,9.448504083291404,4.3095947671943335,1.1663892866818903,3.5557533769400473,4.722142663621938,27.264697913844486,0.9342415915160429,2.5502573828230832,2.721213763207803,2.102295158106591,1.5369431435538181,2.276154352285482,0.8551302395788984,0.5177071641444441
11,31,956904,22628,616878.4999999998,95047,208115,21092,56825,45870,58879,33296,51481,26151,78504,104655,58336,18926,12322,257056,942148,95466.0,105874.0,48030.0,524.0,5190.0,0.22191126495312846,200.55882352941177,222.42436974789916,25.08546103288337,11.36008485062754,2.5780449001237407,9.197233515997878,4.20041541453067,1.155692062930882,3.4693300335867066,4.625022096517589,27.261733250839658,0.9321194979671203,2.5112692239703023,2.6020417182252076,2.0271345235990808,1.4714512992752342,2.2751016439809084,0.8363973837723175,0.5445465794590773
12,32,826283,18536,497039.60000000003,75659,165812,15919,43193,35145,45821,26915,41192,20969,63389,84358,47837,15376,8812,202381,813131,82212.0,90783.0,41173.0,445.0,4305.0,0.21040457843746282,200.02919708029196,220.8832116788321,25.037093259138437,10.91826715580492,2.5807617608977127,8.945403539059129,4.08173284419508,1.1312580923608113,3.419777729823047,4.5510358221838585,26.814825205006475,0.8588152783772119,2.330222270176953,2.4720004315925768,1.8960401381096246,1.4520392749244713,2.2222701769529563,0.8295209322399655,0.4753992231333621
13,33,673383,15121,401132.19999999995,58428,129114,12898,34999,27796,36085,20720,33059,17217,52491,69708,37498,12094,7052,157550,662328,67119.0,73969.0,33545.0,329.0,3442.0,0.22075032518655438,200.355223880597,220.80298507462686,24.94489318082119,10.419284438859863,2.4798624429601217,8.5387209840619,3.8640301567356654,1.138615170954302,3.471397394352225,4.610012565306527,26.528152899940476,0.8529859136300509,2.314595595529396,2.3864162423120163,1.8382382117584817,1.3702797434032141,2.1862972025659677,0.7998148270617023,0.46637127174128695
14,34,542820,11488,301866.20000000024,44282,97865,9714,26701,20870,26922,15984,24518,12298,40913,53211,29974,9017,5722,119148,533640,54254.0,60060.0,27232.0,294.0,2930.0,0.21936678560137302,200.94074074074075,222.44444444444446,24.979271964594375,10.371518105849582,2.609157381615599,8.518889275766016,3.854630919220056,1.070508356545961,3.5613683844011144,4.631876740947075,26.27665389972147,0.8455779944289693,2.32425139275766,2.3434888579387185,1.8166782729805013,1.3913649025069639,2.1342270194986073,0.7849059888579387,0.49808495821727017
15,35,415925,9001,228060.50000000003,31487,70266,7498,20325,14434,18331,11803,18473,8328,28016,36344,23420,7030,3969,84909,408680,41374.0,45320.0,20550.0,226.0,2156.0,0.2381300219138057,199.8743961352657,218.93719806763286,24.85004339353793,9.433285190534384,2.601933118542384,7.806465948227975,3.498166870347739,0.9252305299411177,3.1125430507721363,4.037773580713254,25.337240306632598,0.8330185534940562,2.2580824352849684,2.0365514942784135,1.6035996000444395,1.311298744583935,2.052327519164537,0.78102433062993,0.4409510054438396
16,36,317448,6556,167049.5000000001,23396,51978,5035,13727,10638,13816,8571,13565,6944,22658,29602,16202,4949,3709,62465,311760,31966.0,35191.0,15963.0,169.0,1657.0,0.21520772781672082,202.31645569620252,222.72784810126583,24.682833312434127,9.527913361805979,2.4713239780353873,7.928309945088468,3.568639414276998,1.0591824283099451,3.456070774862721,4.515253203172667,25.48039963392314,0.7679987797437462,2.0938071995118976,2.1073825503355703,1.6226357535082367,1.3073520439292252,2.069097010372178,0.7548810250152532,0.5657413056741916
17,37,230934,4866,118287.89999999997,16659,36220,3255,8632,8192,10526,6408,9853,4691,15628,20319,11872,3347,2290,44764,226679,23189.0,25500.0,11563.0,146.0,1230.0,0.19538987934449847,201.64347826086956,221.7391304347826,24.728873039175014,9.1993423756679,2.4397862720920673,7.4434854089601314,3.4235511713933415,0.9640361693382655,3.2116728318947803,4.175709001233046,24.30906288532675,0.6689272503082614,1.773941635840526,2.163173037402384,1.6835182901767365,1.3168927250308262,2.024866420057542,0.6878339498561447,0.4706124126592684
18,38,154660,3362,78083.09999999998,10351,23492,2217,6204,5237,6643,4358,6415,2938,10497,13435,8218,2417,1553,28156,151734,15462.0,16773.0,7604.0,94.0,730.0,0.21418220461791132,200.80519480519482,217.83116883116884,24.49071675229642,8.374776918500892,2.4443783462224866,6.98750743604997,3.0788221296847116,0.8738845925044616,3.1222486615110054,3.996133254015467,23.22519333729922,0.6594289113622843,1.8453301606186794,1.9759071980963712,1.557703747769185,1.296252230814991,1.9080904223676383,0.7189173111243308,0.4619274241522903
19,39,82331,1768,38764.200000000004,5399,12119,1154,3121,2921,3689,2197,3283,1455,4962,6417,4198,1283,805,14873,80732,8240.0,8932.0,4051.0,54.0,412.0,0.2137432857936655,200.97560975609755,217.85365853658536,24.461983928739752,8.412330316742082,2.3744343891402715,6.854638009049774,3.053733031674208,0.8229638009049773,2.8065610859728505,3.629524886877828,21.925452488687785,0.6527149321266968,1.7652714932126696,2.0865384615384617,1.6521493212669682,1.2426470588235294,1.8569004524886878,0.7256787330316742,0.45531674208144796
